,page,country,rev_id,ores_score
126,List of politicians in Poland,Poland,516633096,
222,Tingtingru,Vanuatu,550682925,
330,Daud Arsala,Afghanistan,627547024,
359,Book:Two Political Biographies,India,636911471,
514,Dilaver Bey,Turkey,669987106,
539,Bharat Saud,Nepal,671484594,
625,Book:Australian Prime Ministers,Australia,680981536,
643,Robert Sych,Poland,684023803,
644,Marek Krzysztof Jeleniewski,Poland,684023859,
780,Khanzahi,Iran,696608092,
830,Narayani Datt Chataut,Nepal,698572327,
894,Mohammad Amjad,Pakistan,699260156,
1084,Gomez das Mariñas,Spain,703773782,
1406,Valerio De Los Benidos,Cuba,706204833,
1535,Kamlesh Arya,Fiji,706810694,
1845,Book:Indian Politicians,India,708482569,
1886,Pierre-Luc Paquette,Canada,708813010,
1980,Khaled Aghbariyya,Israel,709508670,
2094,José Santos Marques,Portugal,710135228,
2125,Vladimir Shamakhov,Russia,710311600,
2222,Hazrat-U-Din,Afghanistan,710715953,
2316,Floydelia Diasen,Philippines,711224007,
2324,Panu Laturi,Finland,711288191,
2358,Michel Ximenes,France,711513274,
2481,I Gede Sumantara Ady Pratama,Indonesia,712411818,
2587,Łukasz Kowalski,Poland,712872338,
2588,Blanka Olszewska,Poland,712872421,
2589,Janusz Jerzy Drozdalski,Poland,712872473,
2590,Piotr Michał Trzaska,Poland,712872531,
2591,Anna Teresa Piórkowska,Poland,712873183,
2592,Edward Ignacy Hartwich,Poland,712873308,
2593,Lech Andrzej Zagłoba-Zygler,Poland,712873386,
2599,Elżbieta Teresa Rusielewicz,Poland,712878000,
2600,Adam Wojciech Fórmaniak,Poland,712878267,
2601,Zbigniew Józef Sobociński,Poland,712878343,
2602,Bernadeta Aldona Różańska-Majchrzak,Poland,712878396,
2604,Jarosław Wenderlich,Poland,712881543,
2605,Ewa Joanna Starosta,Poland,712881676,
2606,Stanisław Grodzicki (politician),Poland,712881741,
2607,Tadeusz Mirosław Kondrusiewicz,Poland,712881882,
2610,Wojciech Hieronim Nowacki,Poland,712889562,
2611,Jacek Rosół,Poland,712889594,
