,page,country,rev_id,ores_score,FIPS,Name,Type,TimeFrame,Data (M),Population
3,Julius Gregr,Czech Republic,395521877,"{""B"": 0.006954685153294305, ""C"": 0.00686855097619713, ""FA"": 0.001541628251465721, ""GA"": 0.00194958896434003, ""Start"": 0.031088823224110496, ""Stub"": 0.9515967234305922}",,,,,,
4,Edvard Gregr,Czech Republic,395526568,"{""B"": 0.006954685153294305, ""C"": 0.00686855097619713, ""FA"": 0.001541628251465721, ""GA"": 0.00194958896434003, ""Start"": 0.031088823224110496, ""Stub"": 0.9515967234305922}",,,,,,
29,Timoteo Menéndez,Salvadoran,566504165,"{""B"": 0.023711937970824503, ""C"": 0.02204058169842259, ""FA"": 0.0035456458959454433, ""GA"": 0.005387551775599781, ""Start"": 0.4354047982191253, ""Stub"": 0.5099094844400824}",,,,,,
31,Gervas Clay,Rhodesian,574571582,"{""B"": 0.01075729275811964, ""C"": 0.009496467549977666, ""FA"": 0.001871622912830132, ""GA"": 0.002467937752022675, ""Start"": 0.09773056022989218, ""Stub"": 0.8776761187971578}",,,,,,
34,Mavua Mudima,"Congo, Dem. Rep. of",592289232,"{""B"": 0.00851905874805363, ""C"": 0.005844084146239851, ""FA"": 0.0012238884853227787, ""GA"": 0.0017451318868996002, ""Start"": 0.01782673744238742, ""Stub"": 0.9648410992910966}",,,,,,
76,"List of members of the parliament of East Timor, 2001–07",East Timorese,638566016,"{""B"": 0.17139697390429506, ""C"": 0.03889563302103324, ""FA"": 0.005156756829014376, ""GA"": 0.006041842814727703, ""Start"": 0.6441393637069983, ""Stub"": 0.13436942972393137}",,,,,,
88,"List of members of the Løgting, 1974–78",Faroese,643932216,"{""B"": 0.022728756024116767, ""C"": 0.02283765068075479, ""FA"": 0.00363229204843167, ""GA"": 0.00515801884455229, ""Start"": 0.5887242203530106, ""Stub"": 0.3569190620491338}",,,,,,
89,"List of members of the Løgting, 1978–80",Faroese,643932220,"{""B"": 0.029252189629132806, ""C"": 0.02638358097913076, ""FA"": 0.004016940299465831, ""GA"": 0.005028640360397671, ""Start"": 0.5787321175091157, ""Stub"": 0.35658653122275713}",,,,,,
90,"List of members of the Løgting, 1980–84",Faroese,643932225,"{""B"": 0.022156249354284865, ""C"": 0.022910894657623, ""FA"": 0.0032114374912792128, ""GA"": 0.004872998182776721, ""Start"": 0.5613659561805523, ""Stub"": 0.3854824641334838}",,,,,,
91,"List of members of the Løgting, 1984–88",Faroese,643932226,"{""B"": 0.022732121583972108, ""C"": 0.026524278448336658, ""FA"": 0.0032571979258637844, ""GA"": 0.0049404610706820055, ""Start"": 0.569364975369175, ""Stub"": 0.3731809656019705}",,,,,,
