,country,article_name,revision_id,article_quality_est,population
0,Chad,Bir I of Kanem,355319463,Stub,16877000.0
1,Palestinian Territory,Information Minister of the Palestinian National Authority,393276188,Stub,5008000.0
2,Cambodia,Yos Por,393822005,Stub,15497000.0
5,Canada,Robert Douglas Cook,401577829,Stub,38190000.0
6,Egypt,List of Grand Viziers of Egypt,442937236,Stub,100803000.0
7,Pakistan,Sehba Musharraf,448555418,Stub,220940000.0
8,United States,Butler-Belmont family,470173494,Start,329878000.0
9,Canada,List of Canadian incumbents by year,477962574,Stub,38190000.0
10,India,Sheikh Sadiq Ali Ansari,492060822,Stub,1400100000.0
11,Philippines,Cayetano Pacana,492964343,Stub,109581000.0
12,Chad,Abdullah II of Kanem,498683267,Stub,16877000.0
13,United States,Heard-Hawes family,502721672,C,329878000.0
14,Germany,List of German politicians,521986779,Stub,83300000.0
15,Malawi,Raspicious Dzanjalimodzi,532253442,Stub,19130000.0
16,Nicaragua,Manuel Antonio Blas Sáenz,543225630,Stub,6596000.0
17,Hungary,Béla Vörösmarty,545936100,Stub,9767000.0
18,French Guiana,Presidents of the General Council of French Guiana,546364151,Start,294000.0
19,Norway,Finn Sjue,549300521,Stub,5387000.0
20,United States,Russell family (American political family),550953646,Stub,329878000.0
21,Philippines,Maximo Suniel,559553872,Stub,109581000.0
22,Hungary,Mihály Mikes (soldier),559788982,Stub,9767000.0
23,Iran,The Man with the Chocolate Robe,560758943,Stub,84150000.0
24,Malta,List of Malta Labour Party leaders,561744402,Stub,522000.0
25,Spain,Marquis of Amboage,564873005,Stub,47635000.0
26,Chad,Salmama II of Kanem,565745353,Stub,16877000.0
27,Chad,Kuri I of Kanem,565745365,Stub,16877000.0
28,Chad,Mohammed I of Kanem,565745375,Stub,16877000.0
30,Malta,"List of members of the parliament of Malta, 2008–13",573710096,B,522000.0
32,Ghana,Samuel Nii Ayi Mankattah,576988466,Stub,31073000.0
33,Tanzania,Hemed Khamis,585894477,Stub,59734000.0
35,Togo,Council of Ministers of Togo,595693452,Start,8279000.0
36,Palestinian Territory,Finance Minister of the Palestinian National Authority,596181202,Start,5008000.0
37,United Arab Emirates,Abdullah Al Nuaimi (politician),598819900,Start,9778000.0
38,China,Zhang Zhenzhou,601122766,Stub,1402385000.0
39,China,Feng Liao,601127343,Start,1402385000.0
40,China,Wu Shihuo,614786300,Start,1402385000.0
41,Kenya,Kennedy Kiliku,623004627,Stub,53528000.0
42,Angola,Kamu de Almeida,623334577,Stub,32522000.0
43,Slovenia,Hiša Marije Pomočnice,624468970,Stub,2103000.0
44,Croatia,Đuro Šurmin,625509885,Start,4020000.0
45,Japan,Suishō,626606789,Stub,125967000.0
46,Russia,Nikolai Sulima,627001041,Stub,146733000.0
47,South Africa,Khayelihle Mathaba,627051151,Stub,59628000.0
48,Finland,Vilho Turunen,627432937,Stub,5529000.0
49,Finland,Vihtori Aromaa,628261896,Stub,5529000.0
50,Finland,Jonathan Wartiovaara,628268705,Stub,5529000.0
51,Finland,Arvi Turkka,628270736,Stub,5529000.0
52,Finland,Juho Heikkinen,628312759,Stub,5529000.0
53,Finland,Emanuel Aromaa,628379479,Stub,5529000.0
54,Finland,Jukka Lankila,628563978,Stub,5529000.0
55,Finland,Jalmari Malmi,628619000,Stub,5529000.0
56,Finland,Viljo Pousi,628766656,Stub,5529000.0
57,Finland,Jooseppi Kauranen,628988952,Stub,5529000.0
58,Pakistan,Sardar Aurang Zeb Khan,629562076,Stub,220940000.0
59,Tanzania,Jeremiah Kasambala,629818376,Stub,59734000.0
60,Finland,Sofia Hjulgrén,630396351,Stub,5529000.0
61,Finland,Vihtori Viitanen,630396786,Stub,5529000.0
62,Philippines,Tirso Neri,630704768,Stub,109581000.0
63,Greece,Cleisthenes (son of Sibyrtius),631437331,Stub,10700000.0
64,Greece,Demonax (lawmaker),631581752,Start,10700000.0
65,Canada,List of 2009 Canadian incumbents,632008524,Start,38190000.0
66,United Kingdom,"Zero, None Of The Above",632261377,Stub,67160000.0
67,Finland,Johan Franzén (politician),632447328,Stub,5529000.0
68,Palestinian Territory,Planning Minister of the Palestinian National Authority,633612729,Start,5008000.0
69,China,Liu Hongchang,634032715,B,1402385000.0
70,Ireland,Custos Rotulorum of County Wicklow,635240253,Stub,5003000.0
71,Ireland,Custos Rotulorum of County Cork,635814126,Stub,5003000.0
72,Greece,Hegesippus (orator),637801253,Stub,10700000.0
73,India,Pheroze Sethna,638214719,Stub,1400100000.0
74,Tunisia,Ibrahim Kassas,638362866,Stub,11896000.0
75,India,Dilip Sarkar,638377138,Stub,1400100000.0
77,South Sudan,Gatluak Deng Garang,638571205,Stub,11194000.0
